,time,Open,High,Low,Close,Volume
0,1620172800000,241.17,299.83,237.33,292.01,653270.71265
1,1620259200000,292.0,325.41,271.16,308.57,667142.06374
2,1620345600000,308.68,343.1,295.62,320.01,574816.8802
3,1620432000000,319.74,343.8,294.85,316.25,428819.67483
4,1620518400000,316.05,318.1,287.89,305.4,287843.62147
5,1620604800000,305.48,330.57,265.2,283.76,453431.25722
6,1620691200000,283.86,302.72,272.01,302.07,315060.88203
7,1620777600000,302.07,372.0,272.27,280.13,1510686.03594
8,1620864000000,280.88,323.9,249.0,296.36,1006906.54143
9,1620950400000,296.47,323.0,285.56,305.67,484672.10439
10,1621036800000,305.69,316.05,267.8,271.08,397487.31384
11,1621123200000,271.02,291.0,245.63,262.4,408108.58847
12,1621209600000,262.25,262.33,226.33,235.52,483542.84169
13,1621296000000,235.54,262.3,232.75,254.91,413659.15194
14,1621382400000,254.99,262.95,100.0,146.22,1476003.53185
15,1621468800000,146.5,194.68,133.44,182.4,868476.88428
16,1621555200000,182.32,191.84,136.23,156.26,932995.38533
17,1621641600000,156.17,160.94,133.02,142.57,645742.63637
18,1621728000000,142.55,148.9,87.08,114.32,1216823.33246
19,1621814400000,114.53,149.45,114.4,149.16,855833.27985
20,1621900800000,149.38,154.76,130.0,145.4,587340.63037
21,1621987200000,145.38,159.72,143.03,158.6,436113.62716
22,1622073600000,158.62,159.5,140.62,150.27,317027.42073
23,1622160000000,150.22,168.0,131.02,164.62,838095.03278
24,1622246400000,164.66,186.86,141.54,149.24,962790.51855
25,1622332800000,149.22,160.0,137.46,149.84,417881.60058
26,1622419200000,149.87,162.57,140.85,161.65,375823.80953
27,1622505600000,161.68,164.48,148.16,154.04,262046.70367
28,1622592000000,154.03,170.45,148.85,164.35,286169.23457
29,1622678400000,164.39,175.15,160.14,172.95,251658.87753
30,1622764800000,173.01,173.04,146.16,155.28,376736.75698
31,1622851200000,155.26,161.31,147.63,153.17,261473.43911
32,1622937600000,153.16,156.58,147.0,149.63,184617.26286
33,1623024000000,149.62,154.9,134.48,135.72,207576.89231
34,1623110400000,135.79,139.15,119.14,130.88,408389.00581
35,1623196800000,130.93,145.09,124.19,145.05,324389.48712
36,1623283200000,145.07,151.71,131.87,134.0,281395.88974
37,1623369600000,134.11,135.78,122.57,124.74,187144.17535
38,1623456000000,124.73,129.24,118.77,125.85,192471.71228
39,1623542400000,125.86,133.23,120.93,133.06,169028.37143
40,1623628800000,133.04,139.31,128.58,139.0,180195.60143
41,1623715200000,139.0,141.2,133.33,136.58,132763.73567
42,1623801600000,136.58,143.98,132.28,137.31,290393.20637
43,1623888000000,137.25,146.72,136.48,142.27,200606.73151
44,1623974400000,142.3,143.1,129.0,132.88,201411.30461
45,1624060800000,132.87,134.89,127.11,127.9,128056.31155
46,1624147200000,127.9,132.33,119.47,131.81,175407.8963
47,1624233600000,131.82,133.18,100.9,101.3,505453.55752
48,1624320000000,101.26,110.5,86.27,106.5,683577.57724
49,1624406400000,106.5,117.61,102.56,111.79,354525.20617
50,1624492800000,111.79,116.8,106.75,112.82,205422.32703
51,1624579200000,112.85,116.67,99.77,100.08,363911.86603
52,1624665600000,100.1,103.61,96.57,103.61,239913.74256
53,1624752000000,103.59,107.81,98.74,107.71,207999.95086
54,1624838400000,107.71,118.0,104.58,118.0,239341.47209
55,1624924800000,118.0,129.67,116.1,126.49,280397.06541
56,1625011200000,126.5,133.22,122.05,130.91,382664.62464
57,1625097600000,130.92,130.94,118.51,120.17,191998.97839
58,1625184000000,120.15,121.66,112.43,118.5,227303.3183
59,1625270400000,118.49,118.96,113.02,116.22,139816.44933
60,1625356800000,116.23,125.68,113.25,120.25,224472.68692
61,1625443200000,120.28,120.3,110.28,111.17,188195.55782
62,1625529600000,111.17,119.05,110.83,117.51,228450.82023
63,1625616000000,117.47,122.2,115.41,118.55,190721.93942
64,1625702400000,118.56,118.73,107.04,109.46,220517.50271
65,1625788800000,109.45,112.96,105.14,111.01,195088.76356
66,1625875200000,111.01,113.21,106.32,108.12,127833.95163
67,1625961600000,108.14,112.54,106.08,110.84,106991.48231
68,1626048000000,110.86,112.99,104.67,107.68,172514.9137
69,1626134400000,107.68,108.61,101.83,104.1,165862.04556
70,1626220800000,104.1,105.88,97.47,104.55,235639.53525
71,1626307200000,104.52,106.16,97.92,100.17,243951.08162
72,1626393600000,100.17,102.45,92.54,93.06,224639.58441
73,1626480000000,93.07,95.84,91.84,93.16,172564.40149
74,1626566400000,93.18,99.64,92.36,93.95,202755.62653
75,1626652800000,93.94,100.75,88.88,89.25,517063.83908
76,1626739200000,89.29,91.8,83.02,85.65,308430.92608
77,1626825600000,85.65,95.58,84.2,95.18,275778.08049
78,1626912000000,95.21,97.96,91.41,97.6,181032.74394
79,1626998400000,97.6,99.1,92.1,97.73,176082.87558
80,1627084800000,97.76,102.69,97.01,99.26,167070.27543
81,1627171200000,99.24,100.6,95.64,100.44,163229.60128
82,1627257600000,100.42,109.68,100.07,101.33,369624.18262
83,1627344000000,101.39,103.64,97.99,102.85,198183.5229
84,1627430400000,102.83,106.04,101.48,105.88,208672.8773
85,1627516800000,105.9,108.85,104.3,107.84,180321.90472
86,1627603200000,107.83,110.11,102.84,109.91,203720.49417
87,1627689600000,109.89,112.56,108.81,111.15,150685.75869
88,1627776000000,111.15,123.54,110.39,115.53,298309.00645
89,1627862400000,115.54,119.99,113.22,115.26,177191.75191
90,1627948800000,115.26,116.82,109.26,114.05,165543.90288
91,1628035200000,114.08,120.74,112.62,118.08,160311.67036
92,1628121600000,118.07,120.85,114.2,119.03,197031.33494
93,1628208000000,119.05,128.67,117.46,126.93,181179.95018
94,1628294400000,126.93,134.92,125.42,134.17,280856.00982
95,1628380800000,134.16,136.3,121.5,123.48,219997.74515
96,1628467200000,123.46,132.4,118.68,130.65,226925.45876
97,1628553600000,130.65,134.39,127.96,131.87,166806.11996
98,1628640000000,131.88,142.64,131.63,137.18,211598.26419
99,1628726400000,137.17,142.89,132.33,138.6,125455.00587
