,time,Open,High,Low,Close,Volume
0,1620172800000,111.9,119.0,110.23,118.14,224853.8089
1,1620259200000,118.33,128.61,111.62,127.36,292245.1159
2,1620345600000,127.36,147.0,117.53,146.39,395015.7088
3,1620432000000,146.51,169.23,139.26,142.91,986102.6654
4,1620518400000,142.91,147.66,135.0,145.15,251132.5246
5,1620604800000,145.34,146.53,118.0,128.67,238861.2964
6,1620691200000,128.76,147.27,124.4,146.37,311564.0218
7,1620777600000,146.41,158.8,131.0,131.8,415734.853
8,1620864000000,131.6,158.8,123.0,137.28,542130.087
9,1620950400000,137.07,149.7,132.51,148.29,206684.1662
10,1621036800000,148.49,153.77,125.76,127.64,288743.2045
11,1621123200000,127.58,136.99,117.41,125.71,204756.4667
12,1621209600000,125.51,126.0,109.43,114.74,375719.8848
13,1621296000000,114.75,123.06,109.94,115.05,239002.9522
14,1621382400000,115.1,117.85,53.33,72.47,705012.9825
15,1621468800000,72.74,91.23,63.7,84.28,404150.2022
16,1621555200000,84.26,109.98,77.03,100.67,950524.2496
17,1621641600000,100.87,107.99,86.01,91.11,758489.2219
18,1621728000000,91.22,94.99,60.0,72.2,747012.4587
19,1621814400000,72.23,109.87,70.8,106.81,621547.0528
20,1621900800000,106.7,111.89,86.32,99.91,585514.9898
21,1621987200000,99.75,108.76,95.0,108.62,380706.8987
22,1622073600000,108.78,108.78,95.0,103.57,299285.7038
23,1622160000000,103.57,105.28,87.04,99.14,424123.6843
24,1622246400000,99.27,123.29,96.11,121.5,1002796.2636
25,1622332800000,121.54,125.0,105.19,106.25,441270.8594
26,1622419200000,106.25,109.0,100.0,107.6,327847.3388
27,1622505600000,107.63,111.99,103.15,105.53,223985.7053
28,1622592000000,105.51,115.16,103.0,109.21,201979.9828
29,1622678400000,109.21,116.99,108.62,112.96,220434.2378
30,1622764800000,112.97,113.13,99.55,103.54,251778.317
31,1622851200000,103.51,107.77,93.9,98.65,219466.3378
32,1622937600000,98.66,100.0,94.11,96.91,97449.7815
33,1623024000000,96.82,99.72,85.88,86.29,146047.5453
34,1623110400000,86.42,89.0,73.23,83.05,337911.1025
35,1623196800000,83.07,92.7,76.5,92.7,248224.7094
36,1623283200000,92.71,95.0,84.52,87.0,216779.5111
37,1623369600000,87.11,88.04,78.22,79.49,121491.0555
38,1623456000000,79.52,83.8,72.14,78.58,251163.9871
39,1623542400000,78.62,85.0,76.23,83.85,128776.8202
40,1623628800000,83.85,85.89,81.12,84.58,131295.2679
41,1623715200000,84.58,87.58,81.0,85.68,129360.8836
42,1623801600000,85.74,92.97,81.47,89.55,290235.2629
43,1623888000000,89.82,92.79,83.1,85.86,119776.4577
44,1623974400000,85.9,85.9,77.9,81.3,133598.3805
45,1624060800000,81.17,83.95,78.0,79.56,103331.5697
