,time,Open,High,Low,Close,Volume
0,1620172800000,0.19319,0.21765,0.1912,0.21168,289196485.7
1,1620259200000,0.21153,0.25691,0.20739,0.23355,934150613.4
2,1620345600000,0.23351,0.24505,0.219,0.22552,393732068.8
3,1620432000000,0.22582,0.24088,0.223,0.23446,294765840.5
4,1620518400000,0.23451,0.242,0.21653,0.23506,350855314.4
5,1620604800000,0.235,0.25,0.19463,0.20761,488625029.1
6,1620691200000,0.20741,0.22338,0.20198,0.2195,255941972.8
7,1620777600000,0.21937,0.2228,0.17657,0.18052,302769977.6
8,1620864000000,0.18034,0.19826,0.17,0.18542,382023095.9
9,1620950400000,0.18572,0.20689,0.1846,0.20074,220231645.8
10,1621036800000,0.20066,0.205,0.18284,0.18546,226193813.7
11,1621123200000,0.1854,0.20388,0.17198,0.18295,288338660.6
12,1621209600000,0.18281,0.183,0.1608,0.16912,281593163.3
13,1621296000000,0.1693,0.18642,0.1663,0.17523,231926897.5
14,1621382400000,0.17518,0.17781,0.06082,0.11079,898510106.0
15,1621468800000,0.11086,0.14688,0.1,0.14346,540108707.1
16,1621555200000,0.14339,0.14601,0.09694,0.1138,490348416.3
17,1621641600000,0.1139,0.12069,0.09821,0.10459,376895947.8
18,1621728000000,0.10465,0.11012,0.06928,0.08698,621089141.0
19,1621814400000,0.08706,0.11,0.08427,0.10935,390303375.3
20,1621900800000,0.10939,0.11384,0.09764,0.10751,311205897.0
21,1621987200000,0.10747,0.134,0.10535,0.13354,417781207.4
22,1622073600000,0.13354,0.13538,0.11884,0.12156,262001741.6
23,1622160000000,0.12156,0.12293,0.1005,0.11085,363765082.3
24,1622246400000,0.11101,0.11551,0.09384,0.09952,280785558.6
25,1622332800000,0.09966,0.11099,0.09357,0.10546,225098049.9
26,1622419200000,0.10542,0.11599,0.10047,0.11584,204377628.3
27,1622505600000,0.11584,0.12082,0.10924,0.11807,241099577.1
28,1622592000000,0.11807,0.12979,0.11743,0.12325,276689572.9
29,1622678400000,0.12321,0.15482,0.12112,0.13955,838521329.9
30,1622764800000,0.13957,0.13958,0.11912,0.12624,385012182.2
31,1622851200000,0.12641,0.13687,0.11503,0.12037,330799957.9
32,1622937600000,0.12037,0.1315,0.11941,0.12362,298291753.0
33,1623024000000,0.12357,0.129,0.108,0.11112,295326123.3
34,1623110400000,0.111,0.11347,0.09841,0.10809,409008708.1
35,1623196800000,0.10809,0.116,0.10342,0.115,251329172.2
36,1623283200000,0.11511,0.11706,0.10462,0.10851,218822767.0
37,1623369600000,0.10854,0.1165,0.10059,0.10228,361770498.8
38,1623456000000,0.10224,0.103,0.09191,0.09881,285862805.4
39,1623542400000,0.09879,0.10988,0.09554,0.10765,222260077.1
40,1623628800000,0.10764,0.11149,0.10441,0.11048,235377628.4
41,1623715200000,0.11048,0.11449,0.10577,0.10735,243095299.6
42,1623801600000,0.10735,0.1145,0.1027,0.1041,253943596.9
43,1623888000000,0.10406,0.11,0.10158,0.1035,187161891.9
44,1623974400000,0.10345,0.10361,0.09213,0.0963,178661892.4
45,1624060800000,0.09632,0.099,0.09284,0.09304,109294063.8
46,1624147200000,0.09296,0.0974,0.08588,0.09567,162321917.6
47,1624233600000,0.09565,0.09619,0.07201,0.07225,361574298.7
48,1624320000000,0.07226,0.07895,0.0597,0.06863,524260052.2
49,1624406400000,0.06866,0.07946,0.06515,0.07368,294397457.7
50,1624492800000,0.07366,0.07997,0.07033,0.07898,187492615.5
51,1624579200000,0.07891,0.08168,0.06877,0.06936,229604326.4
52,1624665600000,0.0694,0.07163,0.06579,0.07002,185595711.0
53,1624752000000,0.07002,0.07232,0.067,0.07213,138572523.9
54,1624838400000,0.07213,0.085,0.07109,0.08006,376571766.2
55,1624924800000,0.08004,0.08869,0.0794,0.08619,339593194.6
56,1625011200000,0.08614,0.096,0.07974,0.08791,262637647.9
57,1625097600000,0.08791,0.08804,0.07963,0.08205,172434359.5
58,1625184000000,0.08195,0.08325,0.07719,0.08151,125320314.3
59,1625270400000,0.08152,0.08281,0.0788,0.0823,102808717.3
60,1625356800000,0.08231,0.08449,0.07892,0.083,166431628.8
61,1625443200000,0.08298,0.08298,0.077,0.07964,176984829.3
62,1625529600000,0.0797,0.08265,0.078,0.08083,165970163.9
63,1625616000000,0.08083,0.08542,0.0791,0.08135,232855272.1
64,1625702400000,0.08128,0.08136,0.07372,0.07484,172743453.7
65,1625788800000,0.07491,0.07569,0.07073,0.07503,132555011.5
66,1625875200000,0.07498,0.07588,0.07132,0.07295,84565280.3
67,1625961600000,0.07297,0.07459,0.07155,0.07395,88694438.4
