,time,Open,High,Low,Close,Volume
0,1620172800000,1.6793,1.8926,1.6579,1.8811,10757428.28
1,1620259200000,1.8796,2.1078,1.83,2.0519,23599086.03
2,1620345600000,2.0547,2.226,1.9414,2.0107,27530715.68
3,1620432000000,2.0129,2.0657,1.91,1.9526,10421054.28
4,1620518400000,1.9546,1.9987,1.837,1.9563,8231278.57
5,1620604800000,1.9563,2.0238,1.6308,1.7365,13917241.64
6,1620691200000,1.74,1.8796,1.6626,1.8645,9114543.24
7,1620777600000,1.8623,2.055,1.6,1.6462,24507955.27
8,1620864000000,1.6429,1.7687,1.51,1.6112,19434397.62
9,1620950400000,1.6112,1.7668,1.5874,1.7027,8340065.45
10,1621036800000,1.7027,1.725,1.533,1.5585,9182904.88
11,1621123200000,1.5537,1.7013,1.4733,1.5692,10013530.45
12,1621209600000,1.5672,1.5742,1.3917,1.4667,9952423.45
13,1621296000000,1.4684,1.7057,1.4464,1.5998,16098362.32
14,1621382400000,1.6,1.6396,0.7877,0.9923,30767697.07
15,1621468800000,0.989,1.1956,0.8858,1.1564,27733650.86
16,1621555200000,1.1573,1.2225,0.8932,1.0341,20667482.71
17,1621641600000,1.0343,1.0509,0.8853,0.9585,13305411.88
18,1621728000000,0.9597,0.9871,0.623,0.7951,20249545.34
19,1621814400000,0.7956,0.9961,0.7794,0.9864,16328206.02
20,1621900800000,0.9865,1.0297,0.8844,0.9767,11197563.98
21,1621987200000,0.9766,1.1499,0.9653,1.1494,10511587.9
22,1622073600000,1.1489,1.1888,1.0225,1.103,9480113.55
23,1622160000000,1.1027,1.1243,0.9245,0.9645,12446846.66
24,1622246400000,0.9645,1.0089,0.8432,0.9005,7598696.29
25,1622332800000,0.9011,0.9909,0.8421,0.9363,5455327.86
26,1622419200000,0.9368,1.0231,0.8874,1.0201,5105168.09
27,1622505600000,1.0199,1.0536,0.9821,1.0262,4801789.25
28,1622592000000,1.0273,1.2547,1.0191,1.1463,28996297.81
29,1622678400000,1.1471,1.235,1.0932,1.1887,11323224.53
30,1622764800000,1.1886,1.1897,1.0174,1.0668,7259720.05
31,1622851200000,1.0685,1.1406,1.0084,1.04,4413601.15
32,1622937600000,1.04,1.0791,1.0296,1.0612,2500118.58
33,1623024000000,1.0623,1.0838,0.9436,0.953,4212811.57
34,1623110400000,0.953,0.9688,0.8298,0.9547,7819191.45
35,1623196800000,0.9534,0.9842,0.9226,0.9663,7618257.37
36,1623283200000,0.9663,0.9863,0.911,0.9343,5369590.86
37,1623369600000,0.935,0.9511,0.8508,0.8635,3783051.55
38,1623456000000,0.8637,0.8935,0.8027,0.8523,5500971.21
39,1623542400000,0.8517,0.9007,0.8082,0.8951,7587906.45
40,1623628800000,0.8948,0.9342,0.8666,0.9105,5604236.85
41,1623715200000,0.9105,0.959,0.8868,0.8936,4967463.96
42,1623801600000,0.8928,0.945,0.8562,0.8677,5194314.47
43,1623888000000,0.8672,0.9004,0.8507,0.8751,2801704.17
44,1623974400000,0.8765,0.8828,0.78,0.8169,4101516.91
45,1624060800000,0.8176,0.8312,0.7845,0.7885,2376056.38
46,1624147200000,0.7877,0.7982,0.7241,0.7898,4806177.51
47,1624233600000,0.7896,0.7985,0.5991,0.6018,13150218.7
48,1624320000000,0.6012,0.6444,0.4979,0.5799,15584255.9
49,1624406400000,0.5787,0.6589,0.5532,0.6432,7868748.23
50,1624492800000,0.6429,0.6828,0.6088,0.6623,4576469.56
51,1624579200000,0.6631,0.6841,0.5937,0.6011,6619147.11
52,1624665600000,0.6008,0.6242,0.5676,0.6007,7475238.12
53,1624752000000,0.6009,0.6393,0.5823,0.6381,4959470.19
54,1624838400000,0.6378,0.7177,0.6294,0.7013,9083037.7
55,1624924800000,0.7032,0.75,0.6939,0.7271,8440843.69
56,1625011200000,0.7267,0.7434,0.6702,0.7425,6732465.81
57,1625097600000,0.7432,0.768,0.6766,0.6892,8508547.99
58,1625184000000,0.6887,0.6977,0.6543,0.691,5229929.93
59,1625270400000,0.691,0.7149,0.6681,0.7024,3476199.01
60,1625356800000,0.7029,0.742,0.6807,0.7246,3411010.99
61,1625443200000,0.7245,0.7255,0.6706,0.6933,6149117.35
62,1625529600000,0.6935,0.7468,0.6912,0.7131,7765901.69
63,1625616000000,0.7117,0.8274,0.7045,0.7897,12506764.49
64,1625702400000,0.79,0.8455,0.7076,0.8455,8635269.81
65,1625788800000,0.8437,0.905,0.766,0.8384,33183909.18
66,1625875200000,0.8375,0.8568,0.7734,0.7901,12538772.95
67,1625961600000,0.7904,0.7991,0.7623,0.7967,6138548.21
68,1626048000000,0.7963,0.797,0.7381,0.7525,4722723.67
69,1626134400000,0.7522,0.7548,0.7041,0.7158,3395616.55
70,1626220800000,0.7154,0.7219,0.6647,0.717,3810500.67
71,1626307200000,0.7165,0.7224,0.6525,0.671,5497764.68
72,1626393600000,0.6714,0.6767,0.6126,0.6201,5593501.16
73,1626480000000,0.6197,0.6315,0.598,0.6273,3115734.47
74,1626566400000,0.6276,0.6541,0.6088,0.6228,2591598.85
75,1626652800000,0.6232,0.6281,0.5775,0.5842,5241834.0
76,1626739200000,0.5843,0.5966,0.5235,0.5476,6379235.17
77,1626825600000,0.5467,0.6588,0.53,0.6358,15014177.37
78,1626912000000,0.6365,0.642,0.6102,0.6418,7997710.07
79,1626998400000,0.6419,0.6521,0.6058,0.6507,4315722.78
80,1627084800000,0.6509,0.6777,0.6425,0.6574,5219071.37
81,1627171200000,0.658,0.6612,0.6309,0.6587,3270066.27
82,1627257600000,0.6582,0.7251,0.6555,0.6755,9962396.86
83,1627344000000,0.6752,0.7569,0.656,0.7105,10570088.75
84,1627430400000,0.7105,0.7263,0.687,0.7071,4966452.46
85,1627516800000,0.7075,0.7837,0.6882,0.7575,10321096.83
86,1627603200000,0.7571,0.78,0.7168,0.7797,5860769.27
87,1627689600000,0.78,0.8688,0.7648,0.8192,15065241.73
88,1627776000000,0.8193,0.8473,0.7729,0.7794,7635501.52
89,1627862400000,0.7799,0.8248,0.7538,0.8171,5900090.11
90,1627948800000,0.8162,0.8599,0.7756,0.8576,6362329.94
91,1628035200000,0.8589,0.8748,0.8237,0.87,6476885.36
92,1628121600000,0.8704,0.9208,0.8382,0.8884,10655367.71
93,1628208000000,0.8888,0.9024,0.8568,0.8964,5230680.75
94,1628294400000,0.8964,0.938,0.8816,0.9334,6972646.46
95,1628380800000,0.9334,1.05,0.9116,0.9312,18868500.34
96,1628467200000,0.9313,0.9646,0.8879,0.956,6967716.63
97,1628553600000,0.9559,0.9918,0.9201,0.974,6229401.16
98,1628640000000,0.9739,1.0431,0.9538,0.9943,7327643.29
99,1628726400000,0.994,1.025,0.9357,0.9457,4687498.22
